"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Gene101","Gene102","Gene103","Gene104","Gene105","Gene106","Gene107","Gene108","Gene109","Gene110","Gene111","Gene112","Gene113","Gene114","Gene115","Gene116","Gene117","Gene118","Gene119","Gene120","Gene121","Gene122","Gene123","Gene124","Gene125","Gene126","Gene127","Gene128","Gene129","Gene130","Gene131","Gene132","Gene133","Gene134","Gene135","Gene136","Gene137","Gene138","Gene139","Gene140","Gene141","Gene142","Gene143","Gene144","Gene145","Gene146","Gene147","Gene148","Gene149","Gene150","Gene151","Gene152","Gene153","Gene154","Gene155","Gene156","Gene157","Gene158","Gene159","Gene160","Gene161","Gene162","Gene163","Gene164","Gene165","Gene166","Gene167","Gene168","Gene169","Gene170","Gene171","Gene172","Gene173","Gene174","Gene175","Gene176","Gene177","Gene178","Gene179","Gene180","Gene181","Gene182","Gene183","Gene184","Gene185","Gene186","Gene187","Gene188","Gene189","Gene190","Gene191","Gene192","Gene193","Gene194","Gene195","Gene196","Gene197","Gene198","Gene199","Gene200"
"Cell1",0,0,0,0,0,360,451,62,266,0,4361,0,846,0,0,0,1316,0,0,47,0,6294,0,268,309,0,350,237,0,0,0,224,0,725,0,195,0,190,0,28,0,0,0,0,220,9608,0,0,10323,0,619,0,0,0,148,0,200,0,0,0,0,794,0,0,388,87,0,282,891,0,0,0,208,0,0,0,0,0,0,101,482,0,0,433,1136,0,0,0,1546,0,112,0,989,0,969,2,0,0,0,660,0,215,0,0,0,0,129,0,0,0,0,0,0,414,448,518,0,8525,871,0,0,0,0,0,0,415,0,515,268,0,0,208,253,137,4,0,0,0,0,197,306,0,0,0,0,79,0,1109,0,0,0,0,472,0,2323,0,0,255,1043,0,200,1888,168,0,0,288,863,0,36,0,0,0,452,0,0,0,0,163,0,0,0,0,0,0,1863,0,15,352,3773,0,0,287,866,0,0,142,539,1752,0,106
"Cell2",0,0,0,0,0,187,0,0,102,0,3232,0,557,374,0,0,819,0,0,0,0,4624,0,0,0,0,0,0,0,624,0,0,0,473,0,0,0,166,0,0,538,222,0,0,0,6329,0,0,5378,0,380,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,216,417,0,0,0,0,0,0,0,0,0,138,0,0,0,9,317,759,0,0,0,1094,0,0,0,712,0,574,0,0,0,0,641,0,0,0,0,0,0,0,0,0,93,0,200,0,183,0,221,368,5783,0,0,0,0,0,0,0,226,115,0,0,103,0,133,136,117,0,0,0,0,225,125,0,0,72,0,150,0,0,618,0,0,0,0,0,0,2375,0,68,0,838,51,0,1198,147,0,0,0,0,0,0,0,0,179,405,80,0,0,0,0,0,0,0,0,214,0,932,0,0,0,3356,3509,0,178,692,0,0,0,0,0,0,103
"Cell3",0,0,0,394,0,233,267,0,0,0,3495,0,0,321,0,0,1479,0,0,0,36,4385,0,254,269,174,220,203,0,0,0,0,0,0,18,183,0,0,0,13,617,133,0,0,139,6037,0,0,8499,0,349,0,0,0,0,48,133,27,0,0,0,700,0,0,0,0,0,280,531,0,77,0,0,0,0,0,63,0,167,123,386,0,0,286,726,0,0,0,1107,0,0,0,893,0,859,0,0,0,0,726,0,123,28,0,0,0,0,0,0,215,0,199,0,0,278,0,262,5705,570,22,0,0,0,0,0,0,143,707,195,159,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,0,364,486,0,1623,185,0,0,825,0,0,0,0,0,0,0,646,0,0,0,0,0,428,186,0,0,0,0,235,0,0,240,279,0,637,0,0,0,3779,3712,0,291,723,0,0,141,351,1457,6,0
"Cell4",0,41,0,0,0,239,307,35,0,0,0,0,721,352,0,0,0,0,0,0,33,3514,0,177,234,101,196,0,0,483,0,0,0,479,0,0,0,171,112,0,520,113,0,0,0,6211,0,0,7067,0,438,0,0,0,153,0,99,36,0,0,0,464,0,0,417,70,0,0,0,0,0,26,167,24,0,0,0,0,135,0,0,0,0,0,609,0,155,0,0,0,0,0,696,0,0,0,0,0,5,649,0,0,0,21,0,0,0,0,0,0,0,0,0,251,0,0,260,5368,634,30,0,0,0,100,0,0,132,347,0,0,0,0,162,139,0,0,0,0,208,0,246,0,0,0,0,0,0,722,59,0,0,0,0,0,1780,0,0,0,0,0,152,1072,0,0,23,154,527,17,0,0,0,0,448,0,0,0,0,107,0,0,0,0,203,0,1013,0,0,318,2902,3824,0,238,0,0,0,0,302,1180,0,114
"Cell5",0,0,0,271,0,0,0,0,112,0,1998,0,430,330,0,0,891,0,0,0,0,3514,0,0,0,0,0,172,0,360,0,126,0,432,0,0,0,0,98,0,408,0,0,0,128,3841,0,0,5611,0,248,0,0,0,0,0,0,0,0,0,0,449,0,0,0,60,0,0,1484,0,0,0,0,35,0,0,0,51,0,114,232,0,0,269,527,0,0,0,202,0,0,0,539,0,623,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,344,0,0,0,0,268,3341,303,16,0,0,0,0,0,200,0,253,111,0,0,116,0,0,0,142,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,1371,91,0,0,0,71,127,836,84,0,0,0,454,14,0,0,0,134,0,0,0,0,0,0,137,0,51,0,238,0,0,0,0,0,0,1923,0,141,0,0,0,142,271,846,0,0
"Cell6",0,0,0,266,0,0,194,0,0,0,2619,0,337,478,0,0,876,0,61,0,0,3550,0,181,162,139,0,130,0,0,0,0,0,0,0,0,28,0,91,0,456,103,0,108,148,3876,0,0,5726,0,0,0,0,0,159,0,0,0,0,0,0,470,0,8,313,0,0,195,1411,0,0,0,0,0,0,0,102,0,0,0,235,7,0,164,563,16,0,0,390,0,54,0,0,0,589,0,0,0,0,441,0,0,0,0,0,0,0,0,0,154,0,0,0,0,249,274,251,5225,426,0,0,0,0,0,0,0,0,0,0,0,0,105,0,109,0,119,0,0,0,80,141,0,0,0,0,0,0,0,0,0,0,308,0,0,1936,0,24,96,553,0,121,1077,0,0,0,0,419,0,0,0,0,0,337,0,0,0,0,0,0,0,0,110,253,0,504,0,0,213,2781,2068,0,0,470,0,0,0,260,987,0,71
"Cell7",0,0,0,400,0,0,280,0,214,0,3170,0,465,298,0,0,716,0,38,35,0,3948,0,217,185,0,0,0,0,432,0,99,0,434,0,197,0,0,0,0,413,0,10,0,0,6158,0,0,6003,0,0,6,0,0,118,0,0,0,0,24,74,423,0,0,313,0,0,249,465,0,0,0,100,0,0,0,0,0,115,79,413,0,0,0,0,0,199,0,917,0,0,0,563,13,733,0,0,0,0,620,0,0,28,0,0,0,182,0,0,0,0,0,0,230,0,306,242,6361,713,0,0,0,0,0,0,189,149,362,0,0,0,168,0,183,0,68,0,0,134,182,243,0,0,0,0,31,0,774,0,0,0,0,0,0,1745,239,0,0,699,0,0,0,117,0,0,0,0,0,0,0,0,174,336,57,0,0,0,0,0,0,0,0,0,0,1160,0,0,241,3178,2934,0,191,560,0,0,0,407,1013,0,0
"Cell8",0,0,0,0,0,108,156,0,0,0,1778,0,402,236,0,0,436,0,0,0,0,2007,0,110,0,0,0,0,0,197,0,0,0,0,0,0,0,0,41,0,250,0,0,58,0,3092,0,13,3579,0,194,9,0,0,0,39,0,0,0,0,0,251,0,0,265,0,0,66,196,0,36,0,0,0,0,0,0,0,0,0,0,0,19,0,335,0,49,0,504,0,0,0,0,0,0,0,11,0,0,277,2,89,0,16,0,0,0,0,0,104,0,0,0,162,0,163,0,2740,0,0,0,0,0,0,0,0,0,237,81,0,0,0,0,0,0,0,0,0,0,120,135,0,0,0,0,0,0,289,0,12,0,0,236,0,811,84,0,0,383,0,0,520,0,0,0,0,334,0,0,0,0,0,231,0,27,0,0,0,0,0,0,0,0,19,441,0,0,0,1467,1160,0,92,0,0,0,0,215,585,0,0
"Cell9",0,0,12,0,0,0,240,0,0,0,2492,0,388,285,0,0,718,0,0,0,0,3653,0,0,159,0,156,0,0,327,0,104,0,376,18,0,0,181,0,0,0,0,0,156,0,4670,0,0,4518,0,0,0,0,0,92,36,99,0,0,0,85,396,0,0,0,0,0,187,1202,0,48,0,119,0,1,0,0,54,0,0,0,0,0,0,669,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,181,270,0,234,3539,307,35,0,0,0,0,0,194,0,339,0,0,0,0,0,0,0,102,0,39,0,171,216,4,0,0,0,0,0,544,0,0,0,276,333,0,1710,0,29,66,504,0,0,903,0,0,0,121,0,0,0,0,0,0,280,67,0,0,0,0,0,0,67,0,178,0,433,0,0,298,2342,2000,0,191,0,0,0,0,0,781,3,53
"Cell10",0,53,0,416,0,239,140,0,0,0,3356,0,785,356,0,0,925,43,0,0,0,4619,0,0,223,0,0,186,0,528,0,0,0,671,0,0,0,0,0,0,457,0,0,203,0,0,0,0,7551,0,0,0,0,0,193,0,0,0,0,0,156,432,0,0,0,0,0,0,655,0,0,0,164,0,0,0,0,59,182,0,0,53,0,201,596,0,0,0,1271,0,0,0,683,0,0,0,0,0,0,526,0,169,0,0,0,0,0,0,0,156,0,0,0,267,326,399,295,5023,630,0,0,0,0,99,0,0,0,0,0,0,0,0,198,0,0,80,0,0,0,0,0,0,0,0,0,0,0,748,0,0,29,251,0,0,2301,0,0,0,0,112,0,1385,190,0,0,224,772,0,0,0,0,235,454,107,0,0,0,121,0,0,0,0,0,0,828,0,0,0,3402,3549,0,212,613,0,0,0,0,1454,0,0
